lat,long,state_full
44.5,-89.5,wisconsin
39.0,-80.5,west virginia
44.0,-72.699997,vermont
31.0,-100.0,texas
44.5,-100.0,south dakota
41.742325,-71.742332,rhode island
44.0,-120.5,oregon
43.0,-75.0,new york
44.0,-71.5,new hampshire
41.5,-100.0,nebraska
38.5,-98.0,kansas
33.0,-90.0,mississippi
40.0,-89.0,illinois
39.0,-75.5,delaware
41.599998,-72.699997,connecticut
34.799999,-92.199997,arkansas
40.273502,-86.126976,indiana
38.573936,-92.60376,missouri
27.994402,-81.760254,florida
39.876019,-117.224121,nevada
45.367584,-68.972168,maine
44.182205,-84.506836,michigan
33.247875,-83.441162,georgia
19.741755,-155.844437,hawaii
66.160507,-153.369141,alaska
35.860119,-86.660156,tennessee
37.926868,-78.024902,virginia
39.833851,-74.871826,new jersey
37.839333,-84.27002,kentucky
47.650589,-100.437012,north dakota
46.39241,-94.63623,minnesota
36.084621,-96.921387,oklahoma
46.96526,-109.533691,montana
47.751076,-120.740135,washington
39.41922,-111.950684,utah
39.113014,-105.358887,colorado
40.367474,-82.996216,ohio
32.31823,-86.902298,alabama
42.032974,-93.581543,iowa
34.307144,-106.018066,new mexico
33.836082,-81.163727,south carolina
41.203323,-77.194527,pennsylvania
34.048927,-111.093735,arizona
39.045753,-76.641273,maryland
42.407211,-71.382439,massachusetts
36.778259,-119.417931,california
44.068203,-114.742043,idaho
43.07597,-107.290283,wyoming
35.782169,-80.793457,north carolina
30.39183,-92.329102,louisiana
